contig	start	end	SRG_name	SRG_start	SRG_end	SRG_length	SRG_sense
ESE01543_contig17	9944000	10091000	ESE01543_tyr1114	9993701	9994254	143	-
ESE01543_contig2	1	31725	ESE01543_duf3723899	24607	25287	183	-
ESE01543_contig21	1	44868	ESE01543_duf3723908	20260	22544	302	+
ESE01543_contig22	1259000	1316000	ESE01543_tyr1128	1260204	1263078	335	-
ESE01543_contig22	2565000	2741506	ESE01543_duf3723909	2685509	2685589	35	+
ESE01543_contig22	2565000	2741506	ESE01543_tyr1129	2690927	2691082	37	-
ESE01543_contig22	2565000	2741506	ESE01543_tyr1127	2716353	2718806	1410	+
ESE01543_contig23	1	472769	ESE01543_tyr1131	248086	250745	505	-
ESE01543_contig23	1	472769	ESE01543_tyr1130	377258	380616	1058	-
ESE01543_contig23	1	472769	ESE01543_duf3723910	451404	452045	170	+
ESE01543_contig27	145000	235000	ESE01543_tyr1134	146370	148450	700	+
ESE01543_contig27	145000	235000	ESE01543_tyr1132	164772	165101	163	-
ESE01543_contig27	145000	235000	ESE01543_tyr1133	165801	167897	678	+
ESE01543_contig27	145000	235000	ESE01543_duf3723911	168654	170830	1404	-
ESE01543_contig3	1	36000	ESE01543_tyr1118	27559	30067	867	-
ESE01543_contig3	367000	713231	ESE01543_tyr1119	418884	421395	1133	+
ESE01543_contig3	367000	713231	ESE01543_duf3723901	479905	482769	1018	-
ESE01543_contig3	367000	713231	ESE01543_duf3723902	482886	483637	228	-
ESE01543_contig3	367000	713231	ESE01543_fre614	488066	489801	886	-
ESE01543_contig3	367000	713231	ESE01543_duf3723900	617092	618902	243	+
ESE01543_contig3	367000	713231	ESE01543_tyr1121	641012	642446	522	-
ESE01543_contig3	367000	713231	ESE01543_tyr1120	710204	712589	659	-
ESE01543_contig6	1614000	1646611	ESE01543_tyr1122	1615157	1618691	1609	+
ESE01543_contig7	1	182933	ESE01543_duf3723903	50617	51397	248	-
ESE01543_contig7	1	182933	ESE01543_tyr1123	178803	182314	1001	-
ESE01543_contig9	1	452000	ESE01543_duf3723907	82228	85409	1070	-
ESE01543_contig9	1	452000	ESE01543_duf3723904	385170	386879	293	-
ESE01543_contig9	1632000	1862000	ESE01543_tyr1126	1636961	1638993	949	+
ESE01543_contig9	1632000	1862000	ESE01543_duf3723905	1678523	1680905	527	-
ESE01543_contig9	1632000	1862000	ESE01543_myb328	1696957	1697145	91	-
ESE01543_contig9	2075000	2406000	ESE01543_tyr1125	2197609	2200278	646	+
ESE01543_contig9	2075000	2406000	ESE01543_duf3723906	2213921	2214847	252	-
ESE01543_contig9	2075000	2406000	ESE01543_fre615	2220218	2221860	712	-
ESE01543_contig9	3103000	3280000	ESE01543_tyr1124	3117477	3119171	314	+
LCP05531_contig1	8196000	8905000	LCP05531_tyr1622	8199957	8202436	1114	+
LCP05531_contig1	9695000	10105000	LCP05531_tyr1623	9695797	9699440	1060	+
LCP05531_contig1	9695000	10105000	LCP05531_fre914	9750522	9752327	564	+
LCP05531_contig1	9695000	10105000	LCP05531_duf37231307	9756908	9760428	655	-
LCP05531_contig1	9695000	10105000	LCP05531_duf37231308	9832235	9833497	192	-
LCP05531_contig1	10929000	11038000	LCP05531_duf37231310	10975697	10978206	909	-
LCP05531_contig1	10929000	11038000	LCP05531_tyr1626	10998401	11000512	1167	-
LCP05531_contig1	11405000	11628000	LCP05531_tyr1625	11406215	11409733	1513	+
LCP05531_contig1	11405000	11628000	LCP05531_duf37231309	11523731	11524511	248	+
LCP05531_contig1	11796000	11900000	LCP05531_tyr1621	11893656	11896168	1498	-
LCP05531_contig1	12187000	13088505	LCP05531_tyr1624	12207212	12209929	883	+
LCP05531_contig1	12187000	13088505	LCP05531_tyr1628	12710633	12713301	784	+
