sampleID	ESE00019_s00022	ESE00090_SLR20	ESE00090_SLR22	ESE00090_s00154	ESE00418_SLR27	ESE00418_s00613	ESE00418_s00620	ESE01435_s00969	ESE01521_s01016	LCP05531_SLR60	LCP05531_SLR75	LCP05531_s01799	LCP3239_s01654	cluster1	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster2	cluster20	cluster21	cluster22	cluster23	cluster24	cluster25	cluster26	cluster27	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9
LCP4258	0.421000	0.793000	0.709000	0.525000	0.970000	0.692000	0.999000	0.296000	0.171000	1.000000	0.452000	0.281000	0.174000	0.990257	0.766667	0.651833	0.984000	0.996667	0.945600	0.833750	0.989750	0.281250	0.910000	0.096000	0.051065	0.392000	0.770500	0.175500	0.583000	1.000000	0.014000	0.095000	0.274000	0.268417	0.984200	0.812667	0.875625	0.916750	0.903714	0.763167
LCP4799	0.111000	0.990000	0.985000	1.000000	0.701000	0.030000	0.987000	0.158000	0.106000	0.352000	0.203000	0.068000	0.269000	0.122971	0.095000	0.331667	0.437167	0.223833	0.167200	0.283750	0.779500	0.967500	0.242667	0.084000	0.020548	0.295000	0.470500	0.105000	0.189500	0.790500	0.003000	0.172000	0.323500	0.969333	0.094300	0.362889	0.140750	0.168125	0.124714	0.288333
LCP4810	0.408000	0.787000	0.699000	0.513000	0.968000	0.693000	0.999000	0.509000	0.158000	0.997000	0.464000	0.277000	0.174000	0.990543	0.772500	0.657000	0.979667	0.990333	0.955000	0.822250	0.989500	0.272750	0.930000	0.094000	0.047548	0.390000	0.774000	0.174000	0.585000	1.000000	0.039000	0.105500	0.270500	0.266500	0.985600	0.812333	0.695750	0.805000	0.902714	0.761667
LCP5327	0.108000	1.000000	0.996000	1.000000	0.709000	0.085000	0.988000	0.180000	0.107000	0.602000	0.195000	0.080000	0.263000	0.191971	0.085167	0.336667	0.418333	0.322500	0.184800	0.332000	0.824750	0.965250	0.229667	0.080667	0.020000	0.376500	0.458000	0.979000	0.210500	0.803500	0.965500	0.125000	0.364000	0.915000	0.085900	0.174222	0.138375	0.159250	0.113429	0.302667
LCP5471	0.530000	1.000000	1.000000	0.975000	0.728000	0.093000	0.986000	0.313000	0.161000	0.456000	0.464000	0.319000	0.311000	0.217371	0.218833	0.438500	0.464000	0.347000	0.326600	0.468250	0.801500	0.958000	0.340667	0.072333	0.032935	0.468000	0.602000	0.971000	0.470500	0.802500	0.999000	0.200000	0.371000	0.985167	0.167700	0.389667	0.388250	0.283500	0.619286	0.616833
LCP5496	0.414000	0.817000	0.873000	0.588000	0.989000	0.640000	0.999000	0.291000	0.164000	1.000000	0.414000	0.272000	0.154000	0.991229	0.777833	0.678000	0.990000	0.996167	0.290600	0.762500	0.998500	0.329500	0.663000	0.085000	0.032677	0.961000	0.658000	0.178500	0.512000	1.000000	0.275500	0.137500	0.194000	0.064833	0.176100	0.247000	0.979500	0.754500	0.409571	0.572500
LCP5527	0.403000	0.787000	0.704000	0.549000	0.968000	0.722000	0.999000	0.292000	0.267000	0.999000	0.477000	0.268000	0.208000	0.950857	0.770833	0.651833	0.785500	0.996167	0.679400	0.670500	0.989500	0.258750	0.895333	0.183000	0.048613	0.369000	0.701500	0.176500	0.529000	1.000000	0.028500	0.125000	0.264500	0.258417	0.984000	0.812333	0.754625	0.915625	0.795286	0.682500
LCP5529T	0.475000	0.693000	0.874000	0.622000	1.000000	0.643000	0.999000	0.518000	0.165000	1.000000	0.493000	0.286000	0.203000	0.956600	0.960000	0.820667	0.985333	0.999833	0.273600	0.983000	1.000000	0.366000	0.751000	0.123667	1.000000	0.410000	0.671000	0.182000	0.515500	0.771000	0.107500	0.348500	0.315500	0.063500	0.983900	0.241222	0.902375	0.774875	0.949143	0.581667
LCP5531	0.492000	0.795000	0.854000	0.578000	0.989000	0.628000	0.998000	0.344000	0.215000	1.000000	1.000000	1.000000	0.292000	0.955543	0.851000	0.776000	0.975167	0.987000	0.270600	0.931500	0.998500	0.266500	1.000000	0.092000	1.000000	0.379000	0.812000	0.166000	0.521000	0.746000	0.050500	0.167500	1.000000	0.057250	0.953700	0.331667	0.962250	0.994125	0.995714	0.865000
LCP5630T	0.999000	0.785000	0.851000	0.517000	0.965000	0.693000	0.999000	0.298000	0.279000	0.998000	0.535000	0.351000	0.183000	0.958143	0.775833	0.663000	0.979333	0.997333	0.998800	0.852500	0.990500	0.288250	0.675000	0.098000	0.050258	0.391000	0.797000	0.172000	0.568000	1.000000	0.011000	0.097500	0.283000	0.264833	0.982600	0.811556	0.935250	0.899500	0.996429	0.778667
