element	contig	start	end	cluster
LCP05531_SLR76	LCP05531_contig5	2490000	2616000	cluster4
LCP05531_SLR77	LCP05531_contig6	939000	982444	cluster18
LCP06093_SLR78	LCP06093_contig1	1	460000	cluster3
LCP06093_SLR79	LCP06093_contig1	1241000	1282000	cluster1
LCP06093_SLR80	LCP06093_contig11	1	43328	cluster15
LCP06093_SLR81	LCP06093_contig12	671000	743000	cluster11
LCP06093_SLR82	LCP06093_contig16	1	211304	cluster3
LCP06093_SLR83	LCP06093_contig2	2634000	2720000	cluster8
LCP06093_SLR84	LCP06093_contig2	4542000	4602000	cluster9
LCP06093_SLR85	LCP06093_contig2	4840000	4961000	cluster17
LCP06093_SLR86	LCP06093_contig2	906000	982000	cluster14
LCP06093_SLR88	LCP06093_contig4	2821000	3637881	cluster5
LCP06093_SLR89	LCP06093_contig4	807000	1169000	cluster4
LCP06093_SLR90	LCP06093_contig5	2626000	2774498	cluster10
LCP06093_SLR91	LCP06093_contig5	608000	952000	cluster7
